"%s\n"	,	L_31
BDC_U1T_MASK	,	V_177
USB_RECIP_INTERFACE	,	V_190
gadget_driver	,	V_217
"%s epnum=%d dir=%d\n"	,	L_109
bdc_bd	,	V_27
bdc_gadget_alloc_request	,	F_98
"bd_table not allocated\n"	,	L_4
upper_32_bits	,	F_8
ep0_queue	,	F_51
"bd doesn't exist?\n"	,	L_46
ep_bd_list_free	,	F_1
SR_BD_LEN	,	F_70
dev	,	V_8
"eqp_bdi:%d hwd_bdi:%d\n"	,	L_23
hwd_bdi	,	V_31
type_bulk	,	V_246
status_req	,	V_109
unlikely	,	F_15
USB_DT_ENDPOINT	,	V_237
"%s Enabling %s\n"	,	L_104
"in"	,	L_112
"%s()\n"	,	L_29
"bdc: invalid parameters\n"	,	L_105
num_eps	,	V_132
BD_MAX_BUFF_SIZE	,	V_38
dev_dbg_ratelimited	,	F_89
XSF_SETUP_RECV	,	V_224
bdc_dbg_srr	,	F_67
"Halt\n"	,	L_38
"status started but data  not transmitted yet\n"	,	L_85
DEVSTATUS_CLEAR	,	V_210
tfs	,	V_82
bd	,	V_86
actual_length	,	V_148
wLength	,	V_77
TEST_PACKET	,	V_141
USB_DEVICE_TEST_MODE	,	V_171
USB_REQ_SET_SEL	,	V_215
TEST_FORCE_EN	,	V_142
GFP_ATOMIC	,	V_24
wmb	,	F_31
BD_TFS_SHIFT	,	V_92
dev_addr	,	V_164
USB_SPEED_HIGH	,	V_172
USB_DEVICE_U1_ENABLE	,	V_173
"failed to set STALL on %s\n"	,	L_39
bdc	,	V_5
STATUS_PENDING	,	V_221
set	,	V_166
bdi	,	V_44
usb_req	,	V_36
sr_xsf_ep0	,	V_227
BDC_PTC_MASK	,	V_136
"xfr srr with no BD's queued\n"	,	L_45
EOPNOTSUPP	,	V_187
"ISSUE, GET_STATUS for invalid EP ?"	,	L_69
"%s FATAL err, bd not found\n"	,	L_11
"ep%d"	,	L_110
to_bdc_ep	,	F_91
"USB_REQ_SET_FEATURE\n"	,	L_76
config	,	V_205
"USB_DEVICE_LTM_ENABLE?\n"	,	L_58
XSF_SHORT	,	V_153
USB_RECIP_DEVICE	,	V_189
dev_dbg	,	F_2
dir	,	V_63
"USB_RECIP_ENDPOINT\n"	,	L_64
curr_hw_dqpi	,	V_117
"bd dma pool not allocted\n"	,	L_5
sr_status	,	V_151
MAX_XFR_LEN	,	V_231
TEST_K	,	V_139
test_mode	,	V_137
TEST_J	,	V_138
"%s NUM_TABLES:%d %d\n"	,	L_27
req	,	V_33
ret	,	V_87
"%s clearing FUNC_WAKE_ISSUED flag\n"	,	L_90
USB_INTRF_FUNC_SUSPEND	,	V_191
USB_GADGET_DELAYED_STATUS	,	V_220
"bdc_gadget_ep_enable invalid parameters\n"	,	L_102
ep	,	V_2
"After  Clear\n"	,	L_42
"Status stage recv but ep0_state:%s\n"	,	L_84
dma_first_bd	,	V_40
spin_unlock_irqrestore	,	F_94
XSF_STS	,	F_68
max_streams	,	V_248
ep0_handle_status	,	F_79
bd_table_pool	,	V_14
bd_dma_addr	,	V_39
EP0_MAX_PKT_SIZE	,	V_243
BDC_EP_ENABLED	,	V_108
"%s bdi:%d local_bdi:%d\n"	,	L_16
wValue	,	V_61
ep0_usb_req	,	V_115
dev_vdbg	,	F_18
USB_STATE_CONFIGURED	,	V_175
bd_available_ep	,	F_20
"SET REMOTE_WAKEUP\n"	,	L_62
bdc_notify_xfr	,	F_21
list_del	,	F_36
ep_list	,	V_133
le32_to_cpu	,	F_69
BDC_USPPM2	,	V_135
sreport	,	V_144
"%s() ep-&gt;ep_num=%d\n"	,	L_25
ep0	,	V_72
"error in ep_bla:%d\n"	,	L_36
bdc_dconfig_ep	,	F_45
length	,	V_37
"%s wValue=%d wIndex=%d	devstate=%08x speed=%d set=%d"	,	L_60
ep0_xsf_complete	,	F_87
maxpacket	,	V_73
spin_unlock	,	F_38
bdc_ep_set_stall	,	F_62
"%s epnum:%d\n"	,	L_15
bd_start	,	V_122
wMaxPacketSize	,	V_238
"USB_REQ_SET_SEL\n"	,	L_79
USB_DEVICE_REMOTE_WAKEUP	,	V_168
"%s Wrong wLength:%d\n"	,	L_72
list_entry	,	F_44
usb_gadget_map_request	,	F_52
U1_TIMEOUT	,	V_178
dma	,	V_13
num_bds	,	V_79
handle_xsr_succ_status	,	F_66
setup	,	V_218
USB_SPEED_UNKNOWN	,	V_128
bdc_dbg_bd_list	,	F_34
pr_debug	,	F_101
ENOMEM	,	V_25
gadget	,	V_71
short_bdi	,	V_145
"USB_REQ_CLEAR_FEATURE\n"	,	L_77
"USB_REQ_SET_ADDRESS\n"	,	L_74
NUM_TABLES	,	V_22
bdi_to_tbi	,	F_17
BDC_PORT_W1S	,	V_180
"ep_dequeue ep=%p ep-&gt;desc=%p\n"	,	L_34
lock	,	V_102
"init ep failed for:%d error: %d\n"	,	L_116
start_pending	,	V_118
"%s ep:%s start:%d end:%d\n"	,	L_33
USB_ENDPOINT_NUMBER_MASK	,	V_195
bdc_gadget_ep_enable	,	F_100
BD_TYPE_DS	,	V_66
bdc_gadget_ep_ops	,	V_250
index	,	V_7
BDC_XSFNTF	,	V_58
ep_type	,	V_107
bd_xfr	,	V_85
USB_REQ_SET_ADDRESS	,	V_209
"start_pending:%d end_pending:%d speed:%d\n"	,	L_35
"%s ep:%s num_bds:%d tfs:%d r_len:%d bd:%p\n"	,	L_19
USB_DIR_IN	,	V_69
first_remove	,	V_120
delegate_setup	,	V_204
BDC_USPPMS	,	V_176
status	,	V_100
buf_add	,	V_80
_ep	,	V_201
bdc_gadget_ep_disable	,	F_102
"buf_add:%08llx req_len:%d bd:%p eqp:%d\n"	,	L_21
list_add_tail	,	F_33
ep0_handle_feature_dev	,	F_76
"USB_REQ_SET_ISOCH_DELAY not handled\n"	,	L_80
"Free dma pool start_bd:%p dma:%llx\n"	,	L_6
"err queueing zlp :%d\n"	,	L_73
max_bdi	,	V_28
USB_TYPE_STANDARD	,	V_207
u16	,	T_3
"%s exit ep0_state:%s\n"	,	L_50
table	,	V_123
bRequestType	,	V_68
bdc_xsf_ep0_setup_recv	,	F_71
ep_queue	,	F_54
ep0_queue_data_stage	,	F_53
err	,	V_219
available2	,	V_49
available1	,	V_48
short_bd	,	V_150
usppms	,	V_167
"USB_RECIP_INTERFACE\n"	,	L_61
complete	,	V_101
first_req	,	V_121
BDC_EPSTS1	,	F_58
"Before Clear\n"	,	L_40
deq_ptr_64	,	V_125
"USB_DEVICE_REMOTE_WAKEUP\n"	,	L_54
bdc_gadget_ep_dequeue	,	F_95
usb_gadget_set_state	,	F_75
bdc_ep_clear_stall	,	F_63
"Data stage not expected ep0_state:%s\n"	,	L_81
BDC_EPSTS0	,	F_57
bdnum	,	V_88
"dconfig fail but continue with memory free"	,	L_26
"SET Address in wrong device state %d\n"	,	L_52
u32	,	T_1
ep0_queue_zlp	,	F_83
length_short	,	V_149
"bd_table:%p index:%d\n"	,	L_3
bdc_ep	,	V_1
"USB_REQ_SET_CONFIGURATION\n"	,	L_75
type_control	,	V_244
bdc_address_device	,	F_74
USB_REQ_CLEAR_FEATURE	,	V_213
ep_dequeue	,	F_55
EREMOTEIO	,	V_155
spin_lock_irqsave	,	F_93
type_iso	,	V_245
XSF_SUCC	,	V_223
local_bdi	,	V_59
list_for_each_entry	,	F_96
next_hwd_bdi	,	V_46
"%s is already disabled\n"	,	L_108
USB_REQ_GET_STATUS	,	V_214
"ep0 stall already cleared\n"	,	L_65
usb_ep_set_maxpacket_limit	,	F_104
wIndex	,	V_165
"usb_status=%08x\n"	,	L_71
bd_available	,	V_98
"CLEAR REMOTE_WAKEUP\n"	,	L_63
USB_STATE_DEFAULT	,	V_162
handle_control_request	,	F_84
WAIT_FOR_STATUS_START	,	V_75
"bdi:%d num_bds_table:%d tbi:%d\n"	,	L_12
dword3	,	V_60
"sr status not handled:%x\n"	,	L_95
dword2	,	V_83
ep0_state	,	V_64
dev_warn	,	F_46
usb_gadget_unmap_request	,	F_37
setup_pkt	,	V_67
"%s ep:%s status:%d\n"	,	L_24
u64	,	T_4
next_bd_dma	,	V_124
BDC_EP_STOP	,	V_56
"queuing request %p to %s length %d zero:%d\n"	,	L_97
bdc_ep_enable	,	F_47
setup_bd_list_xfr	,	F_27
WAIT_FOR_DATA_XMIT	,	V_203
ep0_queue_status_stage	,	F_50
bdc_xsf_ep0_status_start	,	F_86
dma_addr_t	,	T_2
"failed to clear STALL on %s\n"	,	L_41
bd_table_array	,	V_11
dma_last_bd	,	V_41
start_bdi	,	V_89
len	,	V_157
"USB_REQ_GET_STATUS\n"	,	L_78
to_bdc_req	,	F_92
bdc_sr	,	V_143
"test_mode:%d\n"	,	L_86
USB_RECIP_ENDPOINT	,	V_193
state	,	V_160
init_ep	,	F_103
"%s ep:%s req:%p\n"	,	L_100
USB_REQ_SET_FEATURE	,	V_212
ep0_set_sel_cmpl	,	F_81
dma_pool_alloc	,	F_12
remaining	,	V_35
usb_endpoint_maxp	,	F_28
"%s addr:%d dev state:%d\n"	,	L_51
bdc_gadget_ep_queue	,	F_90
"short xfr on %d\n"	,	L_48
GFP_KERNEL	,	V_239
roundup	,	F_29
EINPROGRESS	,	V_110
USB_REQ_SET_CONFIGURATION	,	V_211
ctrl	,	V_158
"USB_DEVICE_U2_ENABLE\n"	,	L_57
ep0_set_address	,	F_73
bdc_ep_disable	,	F_41
bd_list	,	V_4
available_bd	,	V_52
found	,	V_42
end_pending	,	V_119
num_bds_table	,	V_29
USB_SPEED_SUPER	,	V_174
le16_to_cpu	,	F_26
usb2_pm	,	V_134
BD_ISP	,	V_95
u8	,	T_5
usb_endpoint_type	,	F_49
"%s() ep:%s ep-&gt;flags:%08x\n"	,	L_107
comp_desc	,	V_106
regs	,	V_57
"USB_DEVICE_TEST_MODE\n"	,	L_55
"available_bd:%d\n"	,	L_14
bdc_ep_bla	,	F_60
short_not_ok	,	V_154
USB_REQ_SET_ISOCH_DELAY	,	V_216
"ep0_state:%s"	,	L_82
buf	,	V_200
"len=%d actual=%d bd_xfr-&gt;next_hwd_bdi:%d\n"	,	L_47
"Unknown recipient for get_status\n"	,	L_70
ep0_req	,	V_116
bdc_req_complete	,	F_35
bdc_gadget_free_request	,	F_99
bd_add_to_bdi	,	F_14
"Unknown wValue:%d\n"	,	L_59
ep0_response_buff	,	V_199
BDC_EP_STALL	,	V_131
USB_STATE_ADDRESS	,	V_163
INIT_LIST_HEAD	,	F_105
zero	,	V_230
ep0_stall	,	F_72
next_table	,	V_16
cpu_to_le16	,	F_80
"Babble on ep0 zlp_need:%d\n"	,	L_93
MARK_CHAIN_BD	,	V_19
actual	,	V_111
tmp_32	,	V_126
USB_INTRF_FUNC_SUSPEND_RW	,	V_192
USB_TYPE_MASK	,	V_206
ep_bd_list_alloc	,	F_9
usb_endpoint_xfer_isoc	,	F_10
bd_transfer	,	V_84
ops	,	V_249
"Unknown ep0 state for queueing bd ep0_state:%s\n"	,	L_18
dir_in	,	V_241
__le16	,	V_198
name	,	V_10
delayed_status	,	V_112
ep0_state_string	,	V_78
desc	,	V_20
"%s  %llx\n"	,	L_9
bdc_ep_array	,	V_54
"dma mapping failed\n"	,	L_32
next	,	V_104
"%s ep:%p num_tabs:%d\n"	,	L_7
bdc_free_ep	,	F_64
bdc_gadget_ep_set_halt	,	F_97
BD_LTF	,	V_93
ECONNRESET	,	V_232
"Babble on ep not handled\n"	,	L_94
speed	,	V_127
dev_err	,	F_16
caps	,	V_240
zlp_needed	,	V_74
BD_SBF	,	V_91
USB_DEV_STAT_U1_ENABLED	,	V_181
"dma_first_bd:%llx dma_last_bd:%llx\n"	,	L_10
kzalloc	,	F_11
REMOTE_WAKE_ENABLE	,	V_170
cpu_to_le32	,	F_6
bdc_stop_ep	,	F_42
"%s ep:%s num_tabs:%d\n"	,	L_1
"%s already freed\n"	,	L_2
type_int	,	V_247
max_len_bds	,	V_146
USB_ENDPOINT_DIR_MASK	,	V_196
BD_IOC	,	V_96
"USB_RECIP_DEVICE devstatus:%08x\n"	,	L_68
usb_ctrlrequest	,	V_156
gfp_t	,	T_6
"ZLP needed wVal:%d len:%d MaxP:%d\n"	,	L_17
USB_DEVICE_LTM_ENABLE	,	V_186
"Err in setting Test mode\n"	,	L_87
bDescriptorType	,	V_236
"chain_bd1:%d chain_bd2:%d\n"	,	L_13
"ep0 related packets on non ep0 endpoint"	,	L_92
ep_set_halt	,	F_61
list_empty	,	F_43
BDC_U1E	,	V_179
XSF_BABB	,	V_228
eqp_bdi	,	V_30
dir_out	,	V_242
BD_TYPE_SS	,	V_76
BDC_U1T	,	F_77
usb_gadget_giveback_request	,	F_39
USB_DEV_STAT_U2_ENABLED	,	V_185
"%s called for ep0\n"	,	L_106
chain_bd1	,	V_50
bdc_config_ep	,	F_48
chain_bd2	,	V_51
BDC_U2A	,	V_184
BDC_U2E	,	V_183
bdc_queue_xfr	,	F_32
fail	,	V_26
__func__	,	V_9
ignore_next_sr	,	V_152
epnum	,	V_53
devstatus	,	V_169
"%s ep0_state:%s"	,	L_83
bdc_init_ep	,	F_106
end_bdi	,	V_47
bdc_xsf_ep0_data_start	,	F_85
usb_request	,	V_114
ep_num	,	V_94
start_bd	,	V_12
"%s ep:%s value=%d\n"	,	L_37
kfree	,	F_4
ep0_handle_feature	,	F_78
flags	,	V_55
ep_bdlist_eqp_adv	,	F_24
XSF_STATUS_START	,	V_226
"%s ep0_state:%s\n"	,	L_49
"epnum=%d\n"	,	L_66
"%s  ep:%p\n"	,	L_44
USB_DEVICE_U2_ENABLE	,	V_182
bd_needed	,	V_34
TEST_SE0_NAK	,	V_140
WAIT_FOR_DATA_START	,	V_65
bd_table	,	V_6
"xsf for ep not enabled\n"	,	L_89
ESHUTDOWN	,	V_105
chain_bds	,	V_147
EAGAIN	,	V_233
usb_ep	,	V_103
EINVAL	,	V_45
BD_SOT	,	V_90
USB_RECIP_MASK	,	V_188
bRequest	,	V_208
queue	,	V_99
"usb_req !=req n"	,	L_101
list_first_entry	,	F_59
bdc_sr_xsf	,	F_88
"%s ep:%p req:%p\n"	,	L_96
usb_endpoint_descriptor	,	V_235
"dma mapping failed %s\n"	,	L_30
lower_32_bits	,	F_7
bdc_set_test_mode	,	F_65
"req length &gt; supported MAX:%d requested:%d\n"	,	L_99
"ep%d%s"	,	L_111
bd_p_tab	,	V_17
usb_device_state	,	V_159
"ep bd list allocation failed:%d\n"	,	L_28
offset	,	V_18
setup_first_bd_ep0	,	F_25
"index:%d start_bd:%p dma=%08llx prev_table:%p\n"	,	L_8
WAIT_FOR_STATUS_XMIT	,	V_113
WAIT_FOR_SETUP	,	V_130
"out"	,	L_113
"init ep ep0 fail %d\n"	,	L_115
bdc_req	,	V_32
DMA_ADDR_INVALID	,	V_234
req_len	,	V_62
NUM_TABLES_ISOCH	,	V_21
usb_status	,	V_197
ep0_set_sel	,	F_82
"usb2_pm=%08x"	,	L_43
XSF_DATA_START	,	V_225
tbi	,	V_43
"%s req:%p\n"	,	L_22
maxp	,	V_81
"Err bd pointing to wrong addr\n"	,	L_20
BD_DIR_IN	,	V_70
"bdc_gadget_ep_enable missing wMaxPacketSize\n"	,	L_103
"%s set:%d dev state:%d\n"	,	L_53
find_end_bdi	,	F_19
spin_lock	,	F_40
"ep=%p ep-&gt;usb_ep.name=%s epnum=%d ep-&gt;epnum=%d\n"	,	L_114
addr	,	V_161
value	,	V_129
gfp_flags	,	V_229
"%s sr_status=%d ep:%s\n"	,	L_91
"Unknown ep0_state:%s\n"	,	L_88
BD_INTR_TARGET	,	F_30
bdi_to_bd	,	F_23
BD_EOT	,	V_97
NUM_BDS_PER_TABLE	,	V_23
"Unknown recipient\n"	,	L_67
bdc_writel	,	F_22
USB_ENDPOINT_HALT	,	V_194
_req	,	V_202
bd_needed_req	,	F_13
FUNC_WAKE_ISSUED	,	V_222
chain_table	,	F_5
bdc_readl	,	F_56
"trying to queue req %p to disabled %s\n"	,	L_98
num_tabs	,	V_3
"USB_DEVICE_U1_ENABLE\n"	,	L_56
dma_pool_free	,	F_3
prev_table	,	V_15
