"%s\n"	,	L_31
BDC_U1T_MASK	,	V_175
USB_RECIP_INTERFACE	,	V_188
gadget_driver	,	V_216
"%s epnum=%d dir=%d\n"	,	L_109
bdc_bd	,	V_27
bdc_gadget_alloc_request	,	F_98
"bd_table not allocated\n"	,	L_4
upper_32_bits	,	F_8
ep0_queue	,	F_51
"bd doesn't exist?\n"	,	L_46
ep_bd_list_free	,	F_1
SR_BD_LEN	,	F_70
dev	,	V_8
"eqp_bdi:%d hwd_bdi:%d\n"	,	L_23
hwd_bdi	,	V_31
type_bulk	,	V_245
status_req	,	V_109
unlikely	,	F_15
USB_DT_ENDPOINT	,	V_236
"%s Enabling %s\n"	,	L_104
"in"	,	L_112
"%s()\n"	,	L_29
"bdc: invalid parameters\n"	,	L_105
num_eps	,	V_130
BD_MAX_BUFF_SIZE	,	V_38
dev_dbg_ratelimited	,	F_89
XSF_SETUP_RECV	,	V_223
bdc_dbg_srr	,	F_67
"Halt\n"	,	L_38
"status started but data  not transmitted yet\n"	,	L_85
DEVSTATUS_CLEAR	,	V_209
tfs	,	V_82
bd	,	V_86
actual_length	,	V_146
wLength	,	V_77
TEST_PACKET	,	V_139
USB_DEVICE_TEST_MODE	,	V_169
USB_REQ_SET_SEL	,	V_214
TEST_FORCE_EN	,	V_140
GFP_ATOMIC	,	V_24
wmb	,	F_31
BD_TFS_SHIFT	,	V_92
dev_addr	,	V_162
USB_SPEED_HIGH	,	V_170
USB_DEVICE_U1_ENABLE	,	V_171
"failed to set STALL on %s\n"	,	L_39
bdc	,	V_5
STATUS_PENDING	,	V_220
set	,	V_164
bdi	,	V_44
usb_req	,	V_36
sr_xsf_ep0	,	V_226
BDC_PTC_MASK	,	V_134
"xfr srr with no BD's queued\n"	,	L_45
EOPNOTSUPP	,	V_185
"ISSUE, GET_STATUS for invalid EP ?"	,	L_69
"%s FATAL err, bd not found\n"	,	L_11
"ep%d"	,	L_110
to_bdc_ep	,	F_91
"USB_REQ_SET_FEATURE\n"	,	L_76
config	,	V_204
"USB_DEVICE_LTM_ENABLE?\n"	,	L_58
XSF_SHORT	,	V_151
USB_RECIP_DEVICE	,	V_187
dev_dbg	,	F_2
dir	,	V_63
"USB_RECIP_ENDPOINT\n"	,	L_64
curr_hw_dqpi	,	V_115
sr_status	,	V_149
MAX_XFR_LEN	,	V_230
TEST_K	,	V_137
test_mode	,	V_135
TEST_J	,	V_136
"%s NUM_TABLES:%d %d\n"	,	L_27
req	,	V_33
ret	,	V_87
"%s clearing FUNC_WAKE_ISSUED flag\n"	,	L_90
USB_INTRF_FUNC_SUSPEND	,	V_189
USB_GADGET_DELAYED_STATUS	,	V_219
"bdc_gadget_ep_enable invalid parameters\n"	,	L_102
ep	,	V_2
"After  Clear\n"	,	L_42
"Status stage recv but ep0_state:%s\n"	,	L_84
dma_first_bd	,	V_40
spin_unlock_irqrestore	,	F_94
XSF_STS	,	F_68
max_streams	,	V_247
ep0_handle_status	,	F_79
bd_table_pool	,	V_14
bd_dma_addr	,	V_39
EP0_MAX_PKT_SIZE	,	V_242
BDC_EP_ENABLED	,	V_108
"%s bdi:%d local_bdi:%d\n"	,	L_16
wValue	,	V_61
dev_vdbg	,	F_18
USB_STATE_CONFIGURED	,	V_173
bd_available_ep	,	F_20
"SET REMOTE_WAKEUP\n"	,	L_62
bdc_notify_xfr	,	F_21
list_del	,	F_36
ep_list	,	V_131
le32_to_cpu	,	F_69
BDC_USPPM2	,	V_133
sreport	,	V_142
"%s() ep-&gt;ep_num=%d\n"	,	L_25
ep0	,	V_72
"error in ep_bla:%d\n"	,	L_36
bdc_dconfig_ep	,	F_45
length	,	V_37
"%s wValue=%d wIndex=%d	devstate=%08x speed=%d set=%d"	,	L_60
ep0_xsf_complete	,	F_87
maxpacket	,	V_73
spin_unlock	,	F_38
bdc_ep_set_stall	,	F_62
"%s epnum:%d\n"	,	L_15
bd_start	,	V_120
wMaxPacketSize	,	V_237
"USB_REQ_SET_SEL\n"	,	L_79
USB_DEVICE_REMOTE_WAKEUP	,	V_166
"%s Wrong wLength:%d\n"	,	L_72
list_entry	,	F_44
usb_gadget_map_request	,	F_52
U1_TIMEOUT	,	V_176
dma	,	V_13
num_bds	,	V_79
handle_xsr_succ_status	,	F_66
setup	,	V_217
USB_SPEED_UNKNOWN	,	V_126
bdc_dbg_bd_list	,	F_34
pr_debug	,	F_101
ENOMEM	,	V_25
gadget	,	V_71
short_bdi	,	V_143
"USB_REQ_CLEAR_FEATURE\n"	,	L_77
"USB_REQ_SET_ADDRESS\n"	,	L_74
NUM_TABLES	,	V_22
bdi_to_tbi	,	F_17
BDC_PORT_W1S	,	V_178
"ep_dequeue ep=%p ep-&gt;desc=%p\n"	,	L_34
lock	,	V_102
"init ep failed for:%d error: %d\n"	,	L_116
start_pending	,	V_116
"%s ep:%s start:%d end:%d\n"	,	L_33
USB_ENDPOINT_NUMBER_MASK	,	V_193
bdc_gadget_ep_enable	,	F_100
BD_TYPE_DS	,	V_66
bdc_gadget_ep_ops	,	V_249
index	,	V_7
BDC_XSFNTF	,	V_58
ep_type	,	V_107
bd_xfr	,	V_85
USB_REQ_SET_ADDRESS	,	V_208
"start_pending:%d end_pending:%d speed:%d\n"	,	L_35
"%s ep:%s num_bds:%d tfs:%d r_len:%d bd:%p\n"	,	L_19
USB_DIR_IN	,	V_69
first_remove	,	V_118
delegate_setup	,	V_203
BDC_USPPMS	,	V_174
status	,	V_100
buf_add	,	V_80
_ep	,	V_199
bdc_gadget_ep_disable	,	F_102
"buf_add:%08llx req_len:%d bd:%p eqp:%d\n"	,	L_21
list_add_tail	,	F_33
ep0_handle_feature_dev	,	F_76
"USB_REQ_SET_ISOCH_DELAY not handled\n"	,	L_80
"Free dma pool start_bd:%p dma:%llx\n"	,	L_6
"err queueing zlp :%d\n"	,	L_73
max_bdi	,	V_28
USB_TYPE_STANDARD	,	V_206
u16	,	T_3
"%s exit ep0_state:%s\n"	,	L_50
table	,	V_121
bRequestType	,	V_68
bdc_xsf_ep0_setup_recv	,	F_71
ep_queue	,	F_54
ep0_queue_data_stage	,	F_53
err	,	V_218
available2	,	V_49
available1	,	V_48
short_bd	,	V_148
usppms	,	V_165
"USB_RECIP_INTERFACE\n"	,	L_61
complete	,	V_101
first_req	,	V_119
BDC_EPSTS1	,	F_58
"Before Clear\n"	,	L_40
deq_ptr_64	,	V_123
"USB_DEVICE_REMOTE_WAKEUP\n"	,	L_54
bdc_gadget_ep_dequeue	,	F_95
usb_gadget_set_state	,	F_75
bdc_ep_clear_stall	,	F_63
"Data stage not expected ep0_state:%s\n"	,	L_81
BDC_EPSTS0	,	F_57
bdnum	,	V_88
"dconfig fail but continue with memory free"	,	L_26
"SET Address in wrong device state %d\n"	,	L_52
u32	,	T_1
"bd dma pool not allocated\n"	,	L_5
ep0_queue_zlp	,	F_83
length_short	,	V_147
"bd_table:%p index:%d\n"	,	L_3
bdc_ep	,	V_1
"USB_REQ_SET_CONFIGURATION\n"	,	L_75
type_control	,	V_243
bdc_address_device	,	F_74
USB_REQ_CLEAR_FEATURE	,	V_212
ep_dequeue	,	F_55
EREMOTEIO	,	V_153
spin_lock_irqsave	,	F_93
type_iso	,	V_244
XSF_SUCC	,	V_222
local_bdi	,	V_59
list_for_each_entry	,	F_96
next_hwd_bdi	,	V_46
"%s is already disabled\n"	,	L_108
USB_REQ_GET_STATUS	,	V_213
"ep0 stall already cleared\n"	,	L_65
usb_ep_set_maxpacket_limit	,	F_104
wIndex	,	V_163
"usb_status=%08x\n"	,	L_71
bd_available	,	V_98
"CLEAR REMOTE_WAKEUP\n"	,	L_63
USB_STATE_DEFAULT	,	V_160
handle_control_request	,	F_84
WAIT_FOR_STATUS_START	,	V_75
"bdi:%d num_bds_table:%d tbi:%d\n"	,	L_12
dword3	,	V_60
"sr status not handled:%x\n"	,	L_95
dword2	,	V_83
ep0_state	,	V_64
dev_warn	,	F_46
usb_gadget_unmap_request	,	F_37
setup_pkt	,	V_67
